"country.code","year","energy.use","co2.emission","GDP","GDP.growth","pop.0.14","pop.15.64","pop.growth","pop.total","pop.rural","pop.urban","pop.density"
"CHN","1996",881.537941768305,2.84430958153669,860844098049.121,9.92472266262089,27.1882717344062,66.7880338961644,1.04814151412165,1217550000,68.084,31.916,127.319764967432
"CHN","1997",871.64626953641,2.82056789057578,958159424835.34,9.22688772817146,26.7669869468337,67.0490019410505,1.02345002419879,1230075000,67.117,32.883,128.629509993276
"CHN","1998",869.111238510872,2.67674598026467,1025276902078.73,7.85348952256643,26.3876313985452,67.2747950806015,0.959550406298151,1241935000,66.133,33.867,129.869715662459
"CHN","1999",878.196949873677,2.64864924664833,1089447108705.89,7.61817347439755,25.8441185570108,67.6633898210704,0.865851392993279,1252735000,65.135,34.865,130.999076642828
"CHN","2000",919.321019764067,2.69686243322549,1205260678391.96,8.42928216038324,25.0651326426715,68.2841408103406,0.787956592953992,1262645000,64.123,35.877,132.035507982917
"CHN","2001",932.558502181861,2.74212081298895,1332234719889.82,8.29837441055641,24.2040308485734,68.9661911352186,0.726380637838525,1271850000,62.907,37.093,132.998160748948
"CHN","2002",978.618983130272,2.88522504139331,1461906487857.92,9.09090909057258,23.1970305121002,69.7974446431592,0.669999567758626,1280400000,61.575,38.425,133.892253670147
"CHN","2003",1107.31283685191,3.51224542766222,1649928718134.59,10.0199733687534,22.0996122412488,70.7228505071673,0.622860936133583,1288400000,60.224,39.776,134.728825873314
"CHN","2004",1264.54714812029,4.08013890554173,1941745602165.09,10.0756429654874,21.0372107288897,71.6225257876929,0.593932815112141,1296075000,58.856,41.144,135.531408449047
"CHN","2005",1361.69231736876,4.4411506949345,2268598904116.28,11.352391423495,20.0890942431607,72.4185745835616,0.588124989556992,1303720000,57.478,42.522,136.330861066814
"CHN","2006",1478.15548275389,4.89272709798477,2729784031906.09,12.6882251044697,19.4014935127916,72.9661127599566,0.558374367373002,1311020000,56.132,43.868,137.094232620413
"CHN","2007",1550.53027085064,5.15356401658718,3523094314820.9,14.1949616723985,18.7431660567178,73.4862992313718,0.522271866392275,1317885000,54.801,45.199,137.812118879118
"CHN","2008",1576.18110677875,5.31115185538876,4558431073438.2,9.6233774862006,18.1693110254228,73.917569807887,0.51238693163744,1324655000,53.461,46.539,138.520062322447
"CHN","2009",1692.67989198203,5.77814318390097,5059419738267.41,9.23355109472858,17.723052123319,74.2079763600712,0.497381400884935,1331260000,52.12,47.88,139.210748693572
"CHN","2010",1845.73728288374,6.1724888760975,6039658508485.59,10.6317082336546,17.4149053260143,74.3390743195231,0.482959688678361,1337705000,50.774,49.226,139.8847066547
"CHN","2011",1994.39959230134,6.71030199087886,7492432097810.11,9.4845062015219,17.2004313821464,74.3531397721653,0.47915045424996,1344130000,49.427,50.573,140.556573202449
"IND","1992",365.379491444356,0.864498222769249,293262722482.422,5.48239602225368,37.5098510266557,58.549707973321,1.99981446703907,906461358,74.016,25.984,275.749821431831
"IND","1993",365.277704404352,0.880821146532047,284194018792.066,4.75077621944588,37.25982391577,58.7542475551652,1.967829193272,924475633,73.809,26.191,281.229848871096
"IND","1994",373.300042471378,0.917597877143369,333014993709.73,6.6589240670105,36.9669870910432,59.0052020253493,1.94197883800365,942604211,73.601,26.399,286.744647822198
"IND","1995",386.420922550359,0.95750919759091,366600193391.349,7.57449184104719,36.6285412351385,59.3037992116232,1.91978270262072,960874982,73.393,26.607,292.302702554711
"IND","1996",391.735814488178,1.0234186613599,399787263892.645,7.54952224818398,36.3097602489391,59.5463833756726,1.89839514985975,979290432,73.183,26.817,297.904769321563
"IND","1997",399.052528907473,1.04622353943069,423160799040.86,4.04982084912471,35.9538911559206,59.8319871699953,1.87418828762071,997817250,72.972,27.028,303.540714759404
"IND","1998",402.77631948961,1.05461305120018,428740690379.961,6.18441582075691,35.5662522716496,60.1536187853504,1.84549682251953,1016402907,72.76,27.24,309.194559298626
"IND","1999",416.440113885239,1.10571581739277,466866720520.974,8.84575556124574,35.1564496104862,60.4997097779868,1.81090103332074,1034976626,72.547,27.453,314.844772241928
"IND","2000",418.922186387417,1.12642099942732,476609148165.173,3.84099115681246,34.7326364682896,60.8607516585737,1.7721144435853,1053481072,72.333,27.667,320.473912011827
"IND","2001",418.588556330675,1.12310510390081,493954161367.563,4.82396626420316,34.3749661986667,61.1339375798142,1.73217695125204,1071888190,72.082,27.918,326.073444144972
"IND","2002",423.580114418985,1.12530100757047,523968381476.715,3.80397532123557,33.9917428362936,61.4357914141371,1.69296472529366,1090189358,71.756,28.244,331.640745788286
"IND","2003",425.604507547756,1.15657588732246,618356467437.027,7.86038147525927,33.5930175932644,61.758167510583,1.65386818689212,1108369577,71.428,28.572,337.17125417521
"IND","2004",442.073208188516,1.19717813505083,721584805204.777,7.92293661312628,33.1891559413335,62.0934310128013,1.61537731932809,1126419321,71.097,28.903,342.662071451604
